"Name","Description","Count"
"Hyperbola","",198
,,,,,,,,,,,,,
"Tool","Interpretation","GPR Line","Position(ft)","X(ft)","Y(ft)","Depth(ft)","Time(ns)","Elevation(ft)","Amplitude(mV)","Velocity(ft/ns)","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","Comment"
"Point","Hyperbola","0315_01B-Grid #0001\YLine 12",2.813,3.667,2.813,0.351,2.02,N/A,-0.629,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 12",3.320,3.667,3.320,0.351,2.02,N/A,-5.969,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 12",3.788,3.667,3.788,0.335,1.93,N/A,-7.067,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\YLine 13",0.285,4.000,0.285,0.319,1.84,N/A,2.046,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 13",0.783,4.000,0.783,0.335,1.93,N/A,2.326,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 13",1.280,4.000,1.280,0.351,2.02,N/A,-1.379,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 13",1.479,4.000,1.479,0.742,4.35,N/A,0.842,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 13",1.788,4.000,1.788,0.335,1.93,N/A,-1.389,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 13",2.285,4.000,2.285,0.335,1.93,N/A,-0.639,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 13",2.783,4.000,2.783,0.372,2.14,N/A,2.300,0.328,N/A,N/A,N/A,N/A,N/A,""
